Date and time,index,Temperature_C,RH_percentage,DewPoint_C,CO2_ppm,seconds,minute,jan_attention_break,luuk_attention_break,mayank_attention_break,carlos_attention_break,sum,rolling,rolling2
2023-03-09 15:17:00,1.5,21.233,26.5335,1.2850000000000001,537.0,56.5,0.0,1,0,1,1,3,3.0,3.0
2023-03-09 15:18:00,5.5,21.258499999999998,26.41775,1.2457500000000001,537.0,116.5,1.0,0,0,1,0,1,2.0,2.5
2023-03-09 15:19:00,9.5,21.2685,26.337,1.20975,534.75,176.5,2.0,0,0,0,0,0,1.3333333333333333,2.111111111111111
2023-03-09 15:20:00,13.5,21.263499999999997,26.317,1.1972500000000001,534.0,236.5,3.0,0,0,1,0,1,1.25,1.8958333333333333
2023-03-09 15:21:00,17.5,21.266,26.283250000000002,1.17725,528.75,296.5,4.0,0,0,1,0,1,0.75,1.333333333333333
2023-03-09 15:22:00,21.5,21.246,26.251,1.1475,527.0,356.5,5.0,0,0,0,0,0,0.5,0.958333333333333
2023-03-09 15:23:00,25.5,21.246,26.2055,1.1235,524.75,416.5,6.0,0,0,0,0,0,0.5,0.7499999999999998
2023-03-09 15:24:00,29.5,21.241,26.224,1.13525,524.0,476.5,7.0,1,1,1,0,3,1.0,0.6874999999999998
2023-03-09 15:25:00,33.5,21.24325,26.2285,1.1335,513.5,536.5,8.0,1,1,1,1,4,1.75,0.9374999999999998
2023-03-09 15:26:00,37.5,21.241,26.2055,1.1235,510.0,596.5,9.0,1,0,0,0,1,2.0,1.3124999999999998
2023-03-09 15:27:00,41.5,21.23825,26.19625,1.112,520.5,656.5,10.0,0,0,0,0,0,2.0,1.6874999999999998
2023-03-09 15:28:00,45.5,21.246,26.1765,1.10825,524.0,716.5,11.0,0,0,0,1,1,1.5,1.8125
2023-03-09 15:29:00,49.5,21.255999999999997,26.166,1.11125,499.25,776.5,12.0,0,1,1,0,2,1.0,1.625
2023-03-09 15:30:00,53.5,21.256,26.16,1.108,491.0,836.5,13.0,1,0,0,1,2,1.25,1.4375
2023-03-09 15:31:00,57.5,21.261,26.139750000000003,1.1035000000000001,502.25,896.5,14.0,1,0,0,1,2,1.75,1.375
2023-03-09 15:32:00,61.5,21.266,26.09275,1.08075,506.0,956.5,15.0,1,0,1,0,2,2.0,1.5
2023-03-09 15:33:00,65.5,21.2685,26.092750000000002,1.083,503.0,1016.5,16.0,1,1,0,0,2,2.0,1.75
2023-03-09 15:34:00,69.5,21.2635,26.117,1.0895000000000001,502.0,1076.5,17.0,0,1,0,0,1,1.75,1.875
2023-03-09 15:35:00,73.5,21.258499999999998,26.099,1.07775,499.0,1136.5,18.0,0,0,1,0,1,1.5,1.8125
2023-03-09 15:36:00,77.5,21.263499999999997,26.10175,1.0835000000000001,498.0,1196.5,19.0,0,0,0,1,1,1.25,1.625
2023-03-09 15:37:00,81.5,21.258499999999998,26.0865,1.07125,512.25,1256.5,20.0,1,1,1,1,4,1.75,1.5625
2023-03-09 15:38:00,85.5,21.255999999999997,26.0515,1.05025,517.0,1316.5,21.0,1,0,1,0,2,2.0,1.625
2023-03-09 15:39:00,89.5,21.250999999999998,26.0425,1.0385,503.5,1376.5,22.0,1,0,1,0,2,2.25,1.8125
2023-03-09 15:40:00,93.5,21.246,26.056,1.04425,499.0,1436.5,23.0,1,0,0,0,1,2.25,2.0625
2023-03-09 15:41:00,97.5,21.24325,26.0515,1.0459999999999998,506.5,1496.5,24.0,1,0,0,0,1,1.5,2.0
2023-03-09 15:42:00,101.5,21.232750000000003,26.037750000000003,1.024,509.0,1556.5,25.0,1,0,1,0,2,1.5,1.875
2023-03-09 15:43:00,105.5,21.235500000000002,26.066750000000003,1.0415,504.5,1616.5,26.0,0,0,0,0,0,1.0,1.5625
2023-03-09 15:44:00,109.5,21.2275,26.082,1.03975,503.0,1676.5,27.0,1,0,1,1,3,1.5,1.375
2023-03-09 15:45:00,113.5,21.2225,26.108,1.053,509.0,1736.5,28.0,1,0,1,1,3,2.0,1.5
2023-03-09 15:46:00,117.5,21.21,26.1125,1.0485,511.0,1796.5,29.0,1,1,1,1,4,2.5,1.75
2023-03-09 15:47:00,120.5,21.2,26.108,1.0335,497.5,1841.5,30.0,1,1,1,1,4,3.5,2.375
